measurement_id,sample_id,source_id,measurement_mode,experiment_type,temperature_raw,temperature_c,pressure_raw,pressure_bar,pressure_relation,duration_raw,duration_seconds,hydrogen_capacity_wt_pct,capacity_lower_wt_pct,capacity_upper_wt_pct,capacity_basis,value_qualifier,reported_uncertainty_wt_pct,cycle_number,source_pdf_page,source_locator,extraction_type,extraction_note,include_in_default_training
M-0102,S-F13-CU,SRC-0013,desorption,isothermal_kinetics,280 C,280,0.01 bar,0.01,=,5 min,300,6.14,,,sample mass,reported,,,5,Results; Fig. 2e,author_reported_text,,true
M-0103,S-F13-MN,SRC-0013,desorption,isothermal_kinetics,180 C,180,0.01 bar,0.01,=,60 min,3600,1.12,,,sample mass,reported,,,5,Results; Fig. 2d,author_reported_text,,true
M-0104,S-F13-CU,SRC-0013,desorption,isothermal_kinetics,180 C,180,0.01 bar,0.01,=,60 min,3600,0.89,,,sample mass,reported,,,5,Results; Fig. 2e,author_reported_text,,true
M-0105,S-F14-FENIS,SRC-0014,desorption,isothermal_kinetics,275 C,275,,,,20 min,1200,4.89,,,sample mass,reported,,,7,Section 3.2; Fig. 5a,author_reported_text,,true
M-0106,S-F14-FENI,SRC-0014,desorption,isothermal_kinetics,275 C,275,,,,20 min,1200,3.48,,,sample mass,reported,,,7,Section 3.2; Fig. 5b,author_reported_text,,true
M-0107,S-F14-FEOS,SRC-0014,desorption,isothermal_kinetics,275 C,275,,,,20 min,1200,0.3,,,sample mass,reported,,,7,Section 3.2; Fig. 5c,author_reported_text,,true
M-0108,S-F14-FENIS,SRC-0014,absorption,isothermal_kinetics,75 C,75,,,,60 min,3600,3.63,,,sample mass,reported,,,7,Section 3.2; Fig. 5f,author_reported_text,,true
M-0109,S-F14-FENI,SRC-0014,absorption,isothermal_kinetics,75 C,75,,,,60 min,3600,2.37,,,sample mass,reported,,,7,Section 3.2; Fig. 5f,author_reported_text,,true
M-0110,S-F14-FEOS,SRC-0014,absorption,isothermal_kinetics,75 C,75,,,,60 min,3600,1.03,,,sample mass,reported,,,7,Section 3.2; Fig. 5f,author_reported_text,,true
M-0111,S-F15-NICNT5,SRC-0015,absorption,isothermal_kinetics,423 K,149.85,5.0 MPa,50,=,200 s,200,5.2,,,sample mass,reported,,,8,Section 3.2; Fig. 7c,author_reported_text,,true
M-0112,S-F15-NICNT5,SRC-0015,desorption,isothermal_kinetics,573 K,299.85,reported as -0.0001 MPa in PDF text,,,1000 s,1000,3.75,,,sample mass,reported,,,8,Section 3.2; Fig. 7d,author_reported_text,The negative pressure string is retained verbatim; no normalized pressure was assigned because its physical/gauge meaning is unclear.,true
M-0113,S-EA-FENI2S4,SRC-0016,absorption,isothermal_kinetics,473 K,199.85,3.0 MPa,30,=,1 h,3600,5.8,,,sample mass,reported,,,5,Section 3.3; Fig. 3a,author_reported_text,,true
M-0114,S-EA-FENI2S4,SRC-0016,absorption,isothermal_kinetics,473 K,199.85,3.0 MPa,30,=,60 s,60,4.7,,,sample mass,reported,,,5,Section 3.3; Fig. 3c,author_reported_text,,true
M-0115,S-EA-FENI2S4,SRC-0016,absorption,isothermal_kinetics,373 K,99.85,3.0 MPa,30,=,1 h,3600,4.02,,,sample mass,reported,,,5,Section 3.3; Fig. 3d,author_reported_text,,true
M-0116,S-EA-CTRL,SRC-0016,absorption,isothermal_kinetics,473 K,199.85,3.0 MPa,30,=,1 h,3600,1.89,,,sample mass,reported,,,5,Section 3.3; Fig. 3a,author_reported_text,,true
M-0117,S-EA-CTRL,SRC-0016,absorption,isothermal_kinetics,373 K,99.85,3.0 MPa,30,=,1 h,3600,0.67,,,sample mass,reported,,,5,Section 3.3; Fig. 3d,author_reported_text,,true
M-0118,S-EA-FENI2S4,SRC-0016,absorption,isothermal_kinetics,573 K,299.85,3.0 MPa,30,=,1 h,3600,6.09,,,sample mass,reported,,,10,Conclusion,author_reported_text,,true
M-0119,S-EA-FENI2S4,SRC-0016,desorption,isothermal_kinetics,573 K,299.85,,,,1 h,3600,1.92,,,sample mass,reported,,,5,Section 3.3; Fig. 4b,author_reported_text,,true
M-0120,S-EB-UNDOPED,SRC-0017,absorption,isothermal_kinetics,320 C,320,33 bar,33,=,30 min,1800,4.1,,,sample mass,reported,,,5,Section 3.2; Fig. 5b,author_reported_text,Extended reactive-hydride system.,false
M-0121,S-EB-COTIO3,SRC-0017,absorption,isothermal_kinetics,320 C,320,33 bar,33,=,30 min,1800,5.2,,,sample mass,reported,,,5,Section 3.2; Fig. 5b,author_reported_text,Extended reactive-hydride system.,false
M-0122,S-EB-UNDOPED,SRC-0017,desorption,isothermal_kinetics,320 C,320,1 bar,1,=,60 min,3600,2.3,,,sample mass,reported,,,11,Conclusion; Fig. 5a,author_reported_text,Extended reactive-hydride system.,false
M-0123,S-EB-COTIO3,SRC-0017,desorption,isothermal_kinetics,320 C,320,1 bar,1,=,60 min,3600,2.7,,,sample mass,reported,,,11,Conclusion; Fig. 5a,author_reported_text,Extended reactive-hydride system.,false
M-0124,S-EC-RHC,SRC-0018,absorption,isothermal_sorption,350 C,350,130 bar,130,=,12 h,43200,,6,7,sample mass,range,,,4,Results; Fig. 1,author_reported_text,Author reports about 6-7 wt%; no midpoint was invented. Extended system and non-scalar target are excluded from default training.,false
