outer_source,grid_index,parameters,inner_grouped_mae
SRC-0015,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.2650904699252525
SRC-0015,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.2618479217291576
SRC-0015,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.287796459571827
SRC-0015,4,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 20.0}",1.274773124466425
SRC-0015,5,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 20.0}",1.285178903876276
SRC-0016,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.2472667516386686
SRC-0016,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.2737002653944092
SRC-0016,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.2766914035353363
SRC-0016,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.285538841842093
SRC-0016,4,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 20.0}",1.2720931092097407
SRC-0016,5,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 20.0}",1.291376227677328
